Date,Time,Latitude,Longitude,Depth,Magnitude,year,date,month,hour
1/2/2018,14:57:19,24.7,178.42,583.0,5.9,2018,2,1,14
1/4/2018,02:44:58,53.29,159.84,70.0,5.5,2018,4,1,2
1/7/2018,02:24:03,55.0,165.73,18.0,5.5,2018,7,1,2
1/7/2018,06:47:14,24.72,94.84,30.0,5.6,2018,7,1,6
1/8/2018,23:59:42,17.58,178.59,545.0,5.5,2018,8,1,23
1/10/2018,02:51:34,17.39,83.77,10.0,7.2,2018,10,1,2
1/11/2018,06:59:30,33.83,45.9,10.0,5.5,2018,11,1,6
1/11/2018,17:53:34,23.96,179.96,539.0,5.5,2018,11,1,17
1/11/2018,18:26:24,18.36,96.11,12.0,6.0,2018,11,1,18
1/14/2018,09:18:45,15.61,74.6,45.0,7.2,2018,14,1,9
1/14/2018,09:19:29,36.48,70.81,204.0,5.8,2018,14,1,9
1/14/2018,21:54:36,4.78,144.85,63.0,5.9,2018,14,1,21
1/16/2018,19:57:16,19.41,179.29,657.0,5.9,2018,16,1,19
1/17/2018,22:56:57,29.99,177.34,56.0,6.0,2018,17,1,22
1/18/2018,17:48:40,6.41,132.72,62.0,5.7,2018,18,1,17
1/21/2018,01:06:38,18.82,69.37,80.0,5.8,2018,21,1,1
1/23/2018,05:59:56,5.83,154.74,150.0,5.7,2018,23,1,5
1/23/2018,06:34:54,7.13,106.04,46.0,6.1,2018,23,1,6
1/23/2018,09:31:41,55.8,149.08,19.0,7.8,2018,23,1,9
1/23/2018,11:46:57,56.41,149.44,10.0,5.5,2018,23,1,11
1/24/2018,10:51:17,41.11,142.3,10.0,6.3,2018,24,1,10
1/25/2018,01:15:57,8.06,91.7,20.0,5.7,2018,25,1,1
1/25/2018,02:10:34,55.53,166.28,10.0,6.2,2018,25,1,2
1/25/2018,10:41:13,17.74,179.68,619.0,5.8,2018,25,1,10
1/26/2018,22:47:58,3.35,145.94,23.0,6.1,2018,26,1,22
